Insee - Statistiques locales; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; 
Code;Libellé;Part des actifs occupés de 15 ans ou plus  les transports en commun 2021;Part des ménages ayant au moins 1 voiture 2021;Part des actifs occ 15 ans ou plus voiture pour travailler 2021;Part des actifs occ 15 ans ou plus vélo pour travailler 2021
02036;Augy;0;81.8;93.5;0
02037;Aulnois-sous-Laon;1.6;92.6;92.8;0.2
02038;Les Autels;0;80;76.2;0
02039;Autremencourt;0;90;93.7;0
02040;Autreppes;0;91.4;81.7;1.4
02041;Autreville;2.3;93.7;90.2;0.8
02042;Azy-sur-Marne;7.2;95.1;88.1;1.3
02043;Bagneux;0;88.5;92.6;0
02044;Bancigny;0;90;71.4;0
02046;Barenton-Bugny;0.4;93.2;92.1;0.4
02047;Barenton-Cel;0;89.4;85;5
02048;Barenton-sur-Serre;0;94.7;92.5;0
02049;Barisis-aux-Bois;2.3;91.5;90.9;0
02050;Barzy-en-Thiérache;0.7;93.8;88.3;0.7
02051;Barzy-sur-Marne;6.5;93.4;87;0.6
02052;Bassoles-Aulers;5.9;88.5;88.2;0
02053;Vallées en Champagne;2.4;97.2;83.6;0.7
02054;Bazoches-et-Saint-Thibaut;2.4;92.3;87.5;0
02055;Beaumé;0;92.5;82.8;0
02056;Beaumont-en-Beine;2.3;94.3;89.7;1.1
02057;Beaurevoir;1.6;84.8;87;0.2
02058;Beaurieux;0.6;93.9;92.6;0.6
02059;Beautor;4.2;79.1;83.6;3.1
02060;Beauvois-en-Vermandois;1.6;93.2;89;0
02061;Becquigny;0;94.7;96.3;0.9
02062;Belleau;6.2;96.4;87.7;1.5
02063;Bellenglise;0.6;90.5;92.1;0
02064;Belleu;5.7;84.8;81.3;1.1
02065;Bellicourt;1.4;92.8;90.1;0
02066;Benay;0;96.5;91.5;0
02067;Bergues-sur-Sambre;0;96.6;81.2;1.2
02068;Berlancourt;0;81.1;89.5;0
02069;Berlise;0;95.6;88.2;0
02070;Bernot;1.7;89.1;80.8;1.2
02071;Berny-Rivière;2.1;94.8;89.7;1
02072;Berrieux;1.2;100;92.7;0
02073;Berry-au-Bac;2.5;95.8;92.3;0
02074;Bertaucourt-Epourdon;1.7;94.3;90.4;0
02075;Berthenicourt;0;97.4;94.9;1.3
02076;Bertricourt;2.4;93;88;1.2
02078;Besmé;3.2;95.1;90.5;0
02079;Besmont;0;89.7;85;0
02080;Besny-et-Loizy;3.3;96.9;94.7;0.6
02081;Béthancourt-en-Vaux;0.5;97.1;92.5;1.4
02082;Beugneux;4.9;93.9;77;0
02083;Beuvardes;5.3;94.3;88;0.5
02084;Bézu-le-Guéry;11.7;93.8;83.1;0
02085;Bézu-Saint-Germain;12.7;97.9;81.9;0
02086;Bichancourt;3.9;94.1;89.7;0.8
02087;Bieuxy;0;100;85.7;0
02088;Bièvres;0;93.5;93.3;0
02089;Billy-sur-Aisne;4.3;88.6;89.7;0.2
02090;Billy-sur-Ourcq;5.9;96.1;87.1;0
02091;Blanzy-lès-Fismes;0;97.5;88.6;0
02093;Blérancourt;2.1;93.3;87.2;1.8
02094;Blesmes;14;92.3;76;0
02095;Bohain-en-Vermandois;3.5;67.8;72.7;1.8
02096;Bois-lès-Pargny;1.2;87.7;92.8;0
02097;Boncourt;0;93.2;88;0
02098;Bonneil;7.8;96.1;79.8;2.2
02099;Bonnesvalyn;4.6;96.7;91.7;0.9
02100;Bony;0;92.3;78.9;0
02101;Bosmont-sur-Serre;3.1;87.5;84.4;0
02102;Bouconville-Vauclair;0;93.6;89.6;0
02103;Boué;0.8;88.9;80.3;1
02104;Bouffignereux;0;100;95.7;2.2
02105;Bouresches;8.1;97.5;79.7;0
02106;Bourg-et-Comin;1;94.2;84;0
02107;Bourguignon-sous-Coucy;0;92.9;87.5;0
02108;Bourguignon-sous-Montbavin;1.4;93.2;95.9;0
02109;La Bouteille;1;92.5;83.2;0.5
02110;Braine;0.8;87;81.4;1.9
