Insee - Statistiques locales; ; ; 
Référentiel géographique : France par commune; ; ; 
Code;Libellé;Nb de ménages fiscaux 2021;Médiane du niveau de vie 2021
02270;Douchy;67;21140
02271;Dravegny;50;18840
02272;Droizy;N/A - résultat non disponible;N/A - résultat non disponible
02273;Dury;80;22730
02274;Ébouleau;70;20730
02275;Effry;139;16390
02276;Englancourt;57;22940
02277;Épagny;138;21260
02278;Éparcy;N/A - résultat non disponible;N/A - résultat non disponible
02279;Épaux-Bézu;235;24860
02280;Épieds;154;24460
02281;L'Épine-aux-Bois;96;24210
02282;Eppes;176;21000
02283;Erlon;117;19790
02284;Erloy;N/A - résultat non disponible;N/A - résultat non disponible
02286;Esquéhéries;364;21000
02287;Essigny-le-Grand;466;24790
02288;Essigny-le-Petit;149;21550
02289;Essises;173;24830
02290;Essômes-sur-Marne;1105;23660
02291;Estrées;159;21190
02292;Étampes-sur-Marne;582;21900
02293;Étaves-et-Bocquiaux;223;21120
02294;Étouvelles;84;25310
02295;Étréaupont;366;19530
02296;Étreillers;450;23170
02297;Étrépilly;47;23220
02298;Étreux;661;19940
02299;Évergnicourt;228;22270
02302;Faverolles;128;24050
02303;Fayet;288;32330
02304;La Fère;1178;16210
02305;Fère-en-Tardenois;1296;19780
02306;La Ferté-Chevresis;223;20600
02307;La Ferté-Milon;882;22930
02308;Fesmy-le-Sart;200;19670
02309;Festieux;261;21460
02310;Fieulaine;113;23300
02311;Filain;53;22350
02312;La Flamengrie;433;21260
02313;Flavigny-le-Grand-et-Beaurain;171;21670
02315;Flavy-le-Martel;642;21150
02316;Fleury;61;26560
02317;Fluquières;85;26590
02318;Folembray;616;20330
02319;Fonsomme;190;20590
02320;Fontaine-lès-Clercs;104;26300
02321;Fontaine-lès-Vervins;369;22120
02322;Fontaine-Notre-Dame;155;24950
02323;Fontaine-Uterte;55;23020
02324;Fontenelle;118;21680
02326;Fontenoy;201;23650
02327;Foreste;65;18850
02328;Fossoy;232;24890
02329;Fourdrain;169;24060
02330;Francilly-Selency;194;26360
02331;Franqueville;52;20060
02332;Fresnes-en-Tardenois;104;22610
02333;Fresnes-sous-Coucy;65;20060
02334;Fresnoy-le-Grand;1237;19180
02335;Fressancourt;81;22200
02336;Frières-Faillouël;381;23400
02337;Froidestrées;77;21010
02338;Froidmont-Cohartille;101;21240
02339;Gandelu;263;23210
02340;Gauchy;2298;20850
02341;Gercy;110;22290
02342;Gergny;56;22010
02343;Germaine;N/A - résultat non disponible;N/A - résultat non disponible
02345;Gibercourt;N/A - résultat non disponible;N/A - résultat non disponible
02346;Gizy;282;21480
02347;Gland;195;25850
02349;Goudelancourt-lès-Berrieux;N/A - résultat non disponible;N/A - résultat non disponible
02350;Goudelancourt-lès-Pierrepont;56;20470
02351;Goussancourt;52;24670
02352;Gouy;242;20460
02353;Grandlup-et-Fay;128;21860
02354;Grandrieux;N/A - résultat non disponible;N/A - résultat non disponible
02355;Gricourt;417;24170
02356;Grisolles;81;20880
02357;Gronard;N/A - résultat non disponible;N/A - résultat non disponible
02358;Grougis;141;20440
02359;Grugies;523;22150
02360;Villeneuve-sur-Aisne;1152;23040
02361;Guise;2067;17320
02362;Guivry;100;23070
02363;Guny;180;21020
02364;Guyencourt;95;25500
02366;Hannapes;124;19940
02367;Happencourt;65;23430
02368;Haramont;222;22430
02369;Harcigny;106;18870
02370;Hargicourt;219;21310
02371;Harly;767;21470
02372;Hartennes-et-Taux;149;22960
02373;Hary;95;23070
02374;Lehaucourt;358;19980
02375;Hautevesnes;60;24030
02376;Hauteville;67;23470
02377;Haution;56;19340
02378;La Hérie;58;20120
02379;Le Hérie-la-Viéville;84;19680
